SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-210	0	497.932	38.3752	1
hsa-miR-211	0	11.2095	2.55957	1
hsa-miR-212	0	9.70846	2.55437	1
hsa-miR-214	0	-1.87733	2.42021	0
hsa-miR-214*	0	0.329309	2.42043	0
hsa-miR-215	0	63.1883	5.09007	1
hsa-miR-216a	0	-0.535472	1.71409	0
hsa-miR-216b	0	-2.42843	1.71067	0
hsa-miR-217	0	-2.21828	1.71147	0
hsa-miR-218	0	-0.0742739	2.42202	0
hsa-miR-218-1*	0	-4.00017	1.71037	0
hsa-miR-218-2*	0	-4.23288	1.71039	0
hsa-miR-219-1-3p	0	-2.50634	1.71054	0
hsa-miR-219-2-3p	0	-0.827564	2.42038	0
hsa-miR-219-5p	0	69.761	5.70533	1
hsa-miR-22	0	58140.7	5022.31	1
hsa-miR-22*	0	224.686	19.6127	1
hsa-miR-220a	0	0.0249172	1.71519	0
hsa-miR-220b	0	-2.35744	1.71068	0
hsa-miR-220c	0	0.232614	1.71257	0
hsa-miR-221	0	6629.37	551.844	1
hsa-miR-221*	0	361.014	29.7033	1
hsa-miR-222	0	206.732	19.7621	1
hsa-miR-222*	0	0.822997	1.72688	0
hsa-miR-223	0	159423	11728.5	1
hsa-miR-223*	0	210.241	16.4171	1
hsa-miR-224	0	592.712	45.3794	1
hsa-miR-23a	0	39560.6	3127.66	1
hsa-miR-23a*	0	11.2755	1.97766	1
hsa-miR-23b	0	8943.18	737.939	1
hsa-miR-23b*	0	16.2895	2.11294	1
hsa-miR-24	0	38668.4	2782.22	1
hsa-miR-24-1*	0	429.379	34.0824	1
hsa-miR-24-2*	0	-2.33288	1.71116	0
hsa-miR-25	0	6098.7	547.827	1
hsa-miR-25*	0	-0.362283	1.71942	0
hsa-miR-26a	0	26070.3	2051.97	1
hsa-miR-26a-1*	0	25.9802	2.6824	1
hsa-miR-26a-2*	0	0.637212	1.71628	0
hsa-miR-26b	0	15421.2	1127.18	1
hsa-miR-26b*	0	26.0282	2.55449	1
hsa-miR-27a	0	63666.8	5054.15	1
hsa-miR-27a*	0	-2.53338	1.71066	0
hsa-miR-27b	0	13159	1039.33	1
hsa-miR-27b*	0	-1.4135	1.71101	0
hsa-miR-28-3p	0	-1.02471	1.71556	0
hsa-miR-28-5p	0	4015.74	304.978	1
hsa-miR-296-3p	0	-2.90723	1.71052	0
hsa-miR-296-5p	0	7.17986	2.4926	1
hsa-miR-297	0	-1.29183	1.71217	0
hsa-miR-298	0	-3.35757	1.71067	0
hsa-miR-299-3p	0	20.1651	2.92655	1
hsa-miR-299-5p	0	73.0078	6.67929	1
hsa-miR-29a	0	5096.56	421.101	1
hsa-miR-29a*	0	3.38469	1.74221	1
hsa-miR-29b	0	4744.62	440.599	1
hsa-miR-29b-1*	0	16.6111	1.99421	1
hsa-miR-29b-2*	0	-0.205048	1.71671	0
hsa-miR-29c	0	8045.39	570.081	1
hsa-miR-29c*	0	163.047	14.1578	1
hsa-miR-300	0	1.17412	1.72473	0
hsa-miR-301a	0	5038.23	433.237	1
hsa-miR-301b	0	322.906	26.3419	1
hsa-miR-302a	0	1.96289	2.42978	0
hsa-miR-302a*	0	0.110751	1.71898	0
hsa-miR-302b	0	1.30342	1.71587	0
hsa-miR-302b*	0	-0.343572	1.71227	0
hsa-miR-302c	0	1.84368	1.98969	0
hsa-miR-302c*	0	-1.28644	2.42202	0
hsa-miR-302d	0	-0.340589	1.98423	0
hsa-miR-302d*	0	6.45248	1.77283	1
hsa-miR-30a	0	454.638	39.4686	1
hsa-miR-30a*	0	23.1933	2.95181	1
hsa-miR-30b	0	6474.62	511.384	1
hsa-miR-30b*	0	49.9343	5.40002	1
hsa-miR-30c	0	3355.14	305.435	1
hsa-miR-30c-1*	0	23.1038	2.77032	1
hsa-miR-30c-2*	0	-0.302081	2.42165	0
hsa-miR-30d	0	12307.5	885.784	1
hsa-miR-30d*	0	57.9306	4.41733	1
hsa-miR-30e	0	7018.24	593.833	1
hsa-miR-30e*	0	1138.87	93.7309	1
hsa-miR-31	0	5.11099	2.44977	0
hsa-miR-31*	0	-0.55146	2.42125	0
hsa-miR-32	0	334.866	20.7616	1
hsa-miR-32*	0	4.74064	1.74151	0
hsa-miR-320	0	2576.85	237.076	1
hsa-miR-323-3p	0	25.5431	3.14587	1
hsa-miR-323-5p	0	-2.40885	1.71081	0
hsa-miR-324-3p	0	2438.05	196.124	1
hsa-miR-324-5p	0	2944.83	225.275	1
hsa-miR-325	0	-2.63649	1.71116	0
hsa-miR-326	0	1389.16	112.553	1
hsa-miR-328	0	813.273	74.6795	1
hsa-miR-329	0	20.6738	2.95476	1
hsa-miR-330-3p	0	339.316	28.5789	1
hsa-miR-330-5p	0	0.327644	1.71888	0
hsa-miR-331-3p	0	8579.07	677.402	1
hsa-miR-331-5p	0	-2.36474	1.71558	0
hsa-miR-335	0	513.406	47.063	1
hsa-miR-335*	0	56.847	3.47649	1
hsa-miR-337-3p	0	36.3321	3.58603	1
hsa-miR-337-5p	0	197.403	15.5392	1
hsa-miR-338-3p	0	1198.83	106.352	1
hsa-miR-338-5p	0	0.590102	1.71651	0
hsa-miR-339-3p	0	72.2683	6.37459	1
hsa-miR-339-5p	0	6.68493	1.79806	1
hsa-miR-33a	0	1259.96	111.812	1
hsa-miR-33a*	0	-0.231011	1.71478	0
hsa-miR-33b	0	34.1887	3.18597	1
hsa-miR-33b*	0	2.85098	1.72245	0
hsa-miR-340	0	958.775	67.8844	1
hsa-miR-340*	0	1238.92	110.825	1
hsa-miR-342-3p	0	2269.63	198.645	1
hsa-miR-342-5p	0	83.0927	7.80543	1
hsa-miR-345	0	1.18518	1.72196	0
hsa-miR-346	0	-1.0097	1.98426	0
hsa-miR-34a	0	95.0017	7.99005	1
hsa-miR-34a*	0	-2.54597	2.41909	0
hsa-miR-34b	0	1.22846	2.42661	0
hsa-miR-34b*	0	2.78616	2.43193	0
hsa-miR-34c-3p	0	-4.7301	1.71037	0
hsa-miR-34c-5p	0	-0.371549	2.42134	0
hsa-miR-361-3p	0	173.7	16.1269	1
hsa-miR-361-5p	0	2298.68	197.35	1
hsa-miR-362-3p	0	79.7587	6.9291	1
hsa-miR-362-5p	0	192.75	16.6346	1
hsa-miR-363	0	1216.63	89.196	1
hsa-miR-363*	0	-3.16019	1.71038	0
hsa-miR-365	0	8.51168	2.50686	0
hsa-miR-367	0	-0.416576	2.42025	0
hsa-miR-367*	0	-1.02876	1.7231	0
hsa-miR-369-3p	0	2.11397	2.43081	0
hsa-miR-369-5p	0	26.2548	3.16554	1
hsa-miR-370	0	25.0139	3.55294	1
hsa-miR-371-3p	0	2.54454	2.43274	0
hsa-miR-371-5p	0	-0.060867	1.71428	0
hsa-miR-372	0	-1.58496	2.42018	0
hsa-miR-373	0	3.30265	2.44179	0
hsa-miR-373*	0	-1.39432	2.42128	0
hsa-miR-374a	0	2854.16	203.139	1
hsa-miR-374a*	0	-0.689175	1.71223	0
hsa-miR-374b	0	3517.68	248.843	1
hsa-miR-374b*	0	3.86611	1.7326	0
hsa-miR-375	0	-2.36234	2.41949	0
hsa-miR-376a	0	496.451	40.0617	1
hsa-miR-376a*	0	101.705	9.45222	1
hsa-miR-376b	0	80.1207	7.47938	1
hsa-miR-376c	0	1056.55	82.3588	1
hsa-miR-377	0	577.961	51.1035	1
hsa-miR-377*	0	14.0137	2.05238	1
hsa-miR-378	0	26.165	3.34197	1
hsa-miR-378*	0	27.5388	3.22053	1
hsa-miR-379	0	170.167	14.8737	1
hsa-miR-379*	0	2.08771	1.72068	0
hsa-miR-380	0	4.11875	2.45149	0
hsa-miR-380*	0	-1.38462	1.71278	0
