"ID"	"miRNA_ID"	"SPOT_ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"hsa-miR-138"	"hsa-miR-138"	"hsa-miR-138"	""	-7.81132249766667	-7.81132249766667	-33.1941870710118	4.78683013736533e-12	9.57366027473065e-12	18.2879539622256
"hsa-let-7e"	"hsa-let-7e"	"hsa-let-7e"	""	-1.34990622872222	-1.34990622872222	-15.4399126487992	1.99938422307303e-12	4.24484650437043e-12	18.2398654987329
"hsa-miR-34a"	"hsa-miR-34a"	"hsa-miR-34a"	""	-2.83197068733333	-2.83197068733333	-15.3942742125445	2.10983766194442e-12	4.44515415798977e-12	18.1840976121984
"hsa-miR-324-5p"	"hsa-miR-324-5p"	"hsa-miR-324-5p"	""	-0.912931686235294	-0.912931686235294	-16.0445614652883	2.43011528897639e-12	5.08115014967791e-12	18.1412622130666
"hsa-miR-100"	"hsa-miR-100"	"hsa-miR-100"	""	-6.89847848466667	-6.89847848466667	-21.9647437683419	5.22896420781815e-12	1.03085294382701e-11	17.9572102091871
"hsa-miR-140-5p"	"hsa-miR-140-5p"	"hsa-miR-140-5p"	""	-1.16887558211111	-1.16887558211111	-15.1902592147697	2.68763369135091e-12	5.57734510385603e-12	17.9330419564907
"hsa-miR-369-5p"	"hsa-miR-369-5p"	"hsa-miR-369-5p"	""	-6.16578399935714	-6.16578399935714	-18.5952757070727	4.64880478750797e-12	9.36547533833722e-12	17.8192153601108
"hsa-miR-449a"	"hsa-miR-449a"	"hsa-miR-449a"	""	-8.444719733125	-8.444719733125	-38.2459455838803	8.32952115174178e-12	1.63045945948988e-11	17.6643055703087
"hsa-miR-185"	"hsa-miR-185"	"hsa-miR-185"	""	1.47346803861111	1.47346803861111	14.6663196714499	5.0691419561061e-12	1.00653466178797e-11	17.274781255244
"hsa-miR-124"	"hsa-miR-124"	"hsa-miR-124"	""	-7.05635547669231	-7.05635547669231	-18.9922719431311	1.07938052111625e-11	2.08327988690969e-11	17.0743909817376
"hsa-miR-193a-5p"	"hsa-miR-193a-5p"	"hsa-miR-193a-5p"	""	-8.408733380125	-8.408733380125	-34.8342131798941	2.0282432488035e-11	3.75701434006554e-11	16.8661075616274
"hsa-miR-222"	"hsa-miR-222"	"hsa-miR-222"	""	1.9782331685	1.9782331685	14.1906202251644	9.1706135806311e-12	1.78245728750295e-11	16.6595976549766
"hsa-miR-668"	"hsa-miR-668"	"hsa-miR-668"	""	-7.59154379942857	-7.59154379942857	-44.4249570263986	1.88855902108978e-11	3.53873224037081e-11	16.6320447192588
"hsa-miR-361-5p"	"hsa-miR-361-5p"	"hsa-miR-361-5p"	""	-8.2813501105	-8.2813501105	-33.2813334747055	3.13021450829186e-11	5.72145168403015e-11	16.4672758656625
