	GSM857496	GSM857497	GSM857498	GSM857499	GSM857500
ILMN_1651763	287.7573	291.588	166.9093	102.1483	121.7406
ILMN_1651767	610.207	555.3676	456.0273	312.0273	296.1436
ILMN_1651769	160.8055	179.8189	137.1886	177.259	221.469
ILMN_1651771	123.181	139.0783	121.5718	146.6221	125.8787
ILMN_1651776	529.0649	597.0834	827.1165	630.0192	470.1826
ILMN_1651787	19624.08	21729.9	17434.46	116.8593	121.2572
ILMN_1651788	290.618	226.2926	357.2314	713.0833	597.6269
ILMN_1651789	150.2988	129.3603	114.6224	147.6038	155.5875
ILMN_1651792	121.8458	116.2829	118.1696	111.1439	125.5696
ILMN_1651799	263.2744	298.5267	611.1111	662.4561	717.7682
ILMN_1651800	151.1281	155.7849	168.4764	118.0631	137.8553
ILMN_1651806	114.6559	112.819	138.7662	125.191	117.5666
ILMN_1651811	102.3731	119.8378	120.612	207.5951	142.5333
ILMN_1651817	119.4651	134.1638	128.9676	118.024	120.0072
ILMN_1651819	773.891	855.857	615.2051	661.6104	794.3853
ILMN_1651826	4530.685	4109.022	2770.62	3842.639	6265.753
ILMN_1651828	2345.839	2328.692	2613.702	2264.229	2360.32
ILMN_1651832	875.8743	1435.303	1471.19	1519.718	1179.587
ILMN_1651838	948.8338	686.4732	656.1541	162.6408	182.1944
ILMN_1651846	129.3898	113.8823	126.7508	122.7046	125.4586
ILMN_1651848	848.9089	868.7836	569.6641	124.8577	115.1215
ILMN_1651850	21956.64	23511.18	23068.55	18861.53	24025.64
ILMN_1651865	120.4633	132.3941	124.2381	143.4111	118.4461
ILMN_1651872	1077.462	681.3425	489.5732	795.8334	559.9638
ILMN_1651878	123.0222	122.0797	108.4409	113.8355	129.0962
ILMN_1651886	1298.407	1143.517	1184.141	1240.56	1146.866
ILMN_1651899	136.5186	128.7199	133.6037	29585.2	26656.72
ILMN_1651900	120.9173	119.9424	113.2314	121.4186	117.263
ILMN_1651902	141.9995	134.974	125.2338	118.8735	136.1154
ILMN_1651903	123.2147	128.2708	121.0102	127.6423	117.4595
ILMN_1651905	162.9991	122.392	129.4671	106.7387	117.3219
ILMN_1651913	117.8085	118.3438	134.3905	140.164	121.8503
ILMN_1651916	124.392	117.9384	115.4972	136.3709	195.6974
ILMN_1651936	281.4087	269.5149	266.1375	225.2936	290.6974
ILMN_1651938	183.2732	202.5882	199.7103	122.4974	125.2733
ILMN_1651940	129.2583	116.2933	136.4168	98.8922	113.2753
ILMN_1651943	137.3417	148.5159	121.655	130.8509	162.2128
ILMN_1651944	135.6188	138.9125	120.2688	131.7614	142.337
ILMN_1651949	307.2849	251.0718	271.8914	136.6316	155.5641
ILMN_1651950	116.3674	115.3049	111.9292	392.5048	391.6469
ILMN_1651958	120.0299	113.8142	132.2066	146.0263	131.1355
ILMN_1651964	295.9141	250.145	276.0577	332.8734	342.0581
ILMN_1651966	191.1949	151.7777	154.0022	167.4388	185.882
ILMN_1651967	1151.162	1251.532	2031.481	151.0992	137.5101
ILMN_1651980	112.1862	121.7526	129.6877	125.4412	130.8757
ILMN_1651984	131.0905	132.1732	138.9484	119.0769	122.0006
ILMN_1651987	628.6389	573.1543	1366.11	1300.748	1363.29
ILMN_1652000	174.3403	200.6587	203.6034	188.6307	217.4323
ILMN_1652003	220.5024	173.7228	147.2446	151.8241	147.2664
ILMN_1652006	162.1515	140.1532	230.2974	132.0213	149.2371
ILMN_1652008	670.4638	870.6666	433.4455	540.8478	723.9893
ILMN_1652015	119.9216	130.3071	164.5727	123.9744	145.6737
ILMN_1652017	863.502	717.2335	762.4914	107.4852	109.1591
ILMN_1652022	115.5256	111.7805	125.737	120.0233	125.4617
ILMN_1652023	143.5083	145.0128	149.9675	141.5746	130.6677
ILMN_1652024	305.0027	267.2052	161.8143	210.6209	245.8353
ILMN_1652037	136.6138	115.5797	126.3435	130.7239	134.6244
ILMN_1652056	126.9772	115.9774	121.4802	98.46068	113.1534
ILMN_1652065	187.5314	136.0651	146.7623	243.6686	305.9454
ILMN_1652066	174.9791	180.4817	616.1635	136.5732	138.6752
ILMN_1652072	139.7988	119.1939	143.364	154.9158	123.0426
ILMN_1652073	141.4483	112.6179	125.855	9280.386	8319.774
ILMN_1652079	120.4035	119.3816	116.2483	114.3735	121.7681
ILMN_1652081	138.7359	114.4947	131.0381	134.0501	132.9273
ILMN_1652082	147.0941	156.8224	214.9079	246.45	199.0834
ILMN_1652085	143.8817	132.0698	177.3792	584.5192	706.8045
ILMN_1652088	207.3134	162.825	140.5781	112.5457	107.6861
ILMN_1652098	117.9683	124.976	118.3304	126.485	131.8474
ILMN_1652104	492.6871	419.0038	516.2476	116.7603	119.3336
ILMN_1652110	120.6502	135.8774	121.3421	125.9194	123.1643
ILMN_1652113	128.1798	128.1866	124.5056	128.7306	149.9001
ILMN_1652123	3048.689	3144.97	2655.083	5188.757	11413.75
ILMN_1652128	376.252	378.7712	219.1214	704.4451	938.2125
ILMN_1652132	124.2858	115.8282	114.5829	133.3042	138.7306
ILMN_1652137	126.5126	123.3241	140.3351	109.9964	113.7771
ILMN_1652144	125.4989	134.5517	123.1165	133.8059	143.4496
ILMN_1652147	121.1945	124.7233	134.8028	224.5481	222.0657
ILMN_1652151	127.729	129.7889	119.2272	145.6703	141.9396
ILMN_1652155	150.4305	133.0236	130.9026	131.7923	142.1871
ILMN_1652160	5457.907	7243.466	5968.738	371.2969	320.3519
ILMN_1652161	743.4583	727.0365	831.8674	121.9774	115.9984
ILMN_1652163	461.2645	436.6905	768.7652	637.2028	563.0023
ILMN_1652164	114.462	114.4206	117.4377	219.6312	153.8678
ILMN_1652166	129.858	127.2241	123.0953	126.6087	134.096
ILMN_1652170	121.2508	124.4824	125.9689	105.6953	114.2996
ILMN_1652171	106.564	122.9588	120.8917	116.4054	122.5436
ILMN_1652175	127.2554	171.1443	131.2242	130.5196	123.8603
ILMN_1652178	126.2268	136.0799	135.8303	133.2127	115.6092
ILMN_1652181	120.215	134.315	198.8033	129.9287	135.6091
ILMN_1652185	120.971	137.2974	153.6153	584.6281	536.6237
ILMN_1652188	142.292	132.9122	121.3033	128.2501	128.6403
ILMN_1652196	133.7936	141.2561	157.6044	123.0713	119.5014
ILMN_1652198	110.0484	102.6131	107.3402	101.5261	105.1947
ILMN_1652199	126.1904	127.8221	123.0822	139.0819	151.8389
