	GSM1287710	GSM1287711	GSM1287712	GSM1287713	GSM1287714	GSM1287715	GSM1287716	GSM1287717	GSM1287719	GSM1287721	GSM1287723	GSM1287724	GSM1287726	GSM1287728	GSM1287730	GSM1287731	GSM1287732	GSM1287733
hsa-miR-301b	-4.722003835	-3.758096479	-4.158206978	-3.431375129	-4.301684347	-5.066106612	-3.952402106	-3.939505899	-4.0835095	-3.388994929	-3.625588942	-4.546335573	-3.89659949	-4.181764894	-4.288904144	-4.346610192	-3.580711669	-4.5377022
hsa-miR-302a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-302d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-302d*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-30a	-1.802140577	-0.900898635	-1.084890435	-2.109268103	-2.605549761	-2.162953708	-1.185799209	-0.639693299	-1.10346979	-2.741443869	-1.674385796	-1.121046882	-2.177200111	-1.423820076	-1.153586863	-1.014703611	-1.969649532	-1.616964721
hsa-miR-30b	3.668487418	3.940020525	3.561184016	3.945741234	4.119400517	NA	3.411024463	3.673826032	3.702131964	3.723512002	3.707100965	3.975312457	3.827493451	3.630081873	3.722149038	3.796042724	3.697939113	3.744004305
hsa-miR-30c	2.409660696	2.682828262	2.406062412	2.54034237	2.788896439	2.27992364	2.11833212	2.193931806	2.437308304	2.379623254	NA	2.683880621	2.488465715	2.248357523	2.386947277	2.527825067	2.289369411	2.417029101
hsa-miR-30d	1.348226988	1.263485644	1.164526829	0.453096414	0.254998195	0.915323466	0.397944789	0.816650375	0.775691101	0.702054128	0.626459372	1.18438538	0.633860018	0.170810011	1.235554043	1.184392006	1.00895859	0.750394741
hsa-miR-30e	2.002004802	2.24993592	1.846166861	2.011829194	1.986599303	1.829128144	1.341755087	2.075990079	1.936461926	2.29455636	1.84215567	2.155295553	1.940447259	2.190446568	1.952322469	1.605988234	1.783816733	1.971069941
hsa-miR-30e*	-1.474253434	-1.306064023	-1.617231535	-1.453940096	-1.604664352	-1.897544478	-1.740183713	-1.491255415	-1.272249451	-1.527394982	-1.390701189	-1.434778841	-1.324442421	-1.34071957	-1.670044364	-1.193002349	-1.599886742	-1.524335924
hsa-miR-31	NA	-7.102520868	NA	NA	NA	NA	-8.130558894	NA	NA	-6.650279854	NA	NA	NA	-6.961222613	-5.523750106	NA	NA	NA
hsa-miR-31*	NA	NA	-8.445941043	-8.159635631	NA	NA	NA	NA	NA	NA	-8.703953143	NA	NA	-8.562044835	-8.790312667	-8.417621965	NA	NA
hsa-miR-32	-5.245231312	-4.464470028	-5.673598269	-4.535190191	-4.976783489	-5.191258329	-5.578689137	-3.873289276	-3.651454811	-4.690608345	-4.353223026	-4.109580828	-5.244282137	-5.020983506	-4.966689899	-5.211541025	-5.498061187	-5.556692156
hsa-miR-320a	2.217368003	2.14458514	1.596695332	2.064632666	2.576350306	2.045917246	2.101447722	2.008360387	2.259813796	1.675969757	1.945481883	2.48497694	2.384403074	2.21517583	1.800155854	2.215420384	2.211007992	2.360997952
hsa-miR-323-3p	-5.991971588	-5.694187533	-5.764880549	-7.79558766	NA	NA	-4.740391682	-7.420006412	-5.376781779	NA	-7.049573527	NA	-7.680347723	-8.626681251	-7.795519318	NA	-6.684040452	-7.316752002
hsa-miR-324-3p	-1.433845246	-1.237359652	-1.880315577	-1.457174142	-0.857371145	-1.327653874	-1.52229286	-1.055043595	-1.378480869	-1.290953388	-1.288641975	-0.874566195	-1.164591453	-1.377231167	-1.594527998	-1.132710613	-1.115940734	-1.529898039
hsa-miR-324-5p	-0.893174545	-0.655941844	NA	-0.782372383	-1.001914873	-1.103770833	-0.684457319	-0.913013729	-0.955351748	-0.6281381	-0.976502726	-0.900423706	-1.198107589	-0.838113797	-1.011575042	-0.864779506	-0.867547141	-1.244653785
hsa-miR-326	-0.88273748	-0.545273878	-0.416838063	-0.839027986	-1.370856012	-1.306448338	-0.606450246	-0.993126279	-0.587604375	-1.417132113	-1.122288873	-2.251428902	-1.589389127	-1.288932905	-1.457074476	-1.957592422	-1.368069924	-1.779022009
hsa-miR-328	-1.280118029	-1.088641252	-1.308006341	-1.183179818	-1.24175974	-1.685109774	-0.853417726	-1.674520952	-1.182465751	-1.349442584	-1.376329326	-1.252409638	-1.476087769	-1.606802299	-1.25300186	-1.570860009	-1.357011735	-1.601226887
hsa-miR-329	-4.522657501	-4.229316682	-4.305303003	-5.637914181	-7.297949063	-5.667569717	-3.271331137	NA	-3.196353322	NA	-6.870205152	-6.573054816	NA	-8.373581937	-5.087216968	NA	-5.224012278	-5.819203872
hsa-miR-330-3p	-4.278083051	-4.451453598	-5.521070405	-4.716795323	-4.949084069	-5.935568813	-5.28750379	-5.008845465	-4.743142753	-5.518069823	-5.010877586	-5.584847642	-5.467428373	-4.751513346	-4.560754148	-5.601761559	-5.017778532	-4.979971262
hsa-miR-331-3p	-0.239663271	0.244064943	-0.445737832	-0.480649427	-0.391403881	-0.784140048	0.039223227	-0.120223625	-0.042735159	-0.614615632	-0.402628124	-0.263103347	-0.522817285	-0.424732027	-0.401403938	-0.638944037	-0.616998897	-0.920125431
hsa-miR-335	-1.22061211	-0.747737759	-1.013485583	-0.859308499	-0.042901637	-1.236961688	-1.847569046	-1.733393582	-0.986026203	-1.571691907	-1.253403552	-0.769726345	-0.367304918	-1.48435626	-1.330358044	-1.23505117	-1.203816975	-1.078246283
