	ID	miRNA_ID	SPOT_ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-542-5p	hsa-miR-542-5p	hsa-miR-542-5p		-5.564348714625	-5.564348714625	-32.5975713836072	3.5541458129055296e-17	1.40134892051704e-16	29.6709939025594
hsa-miR-153	hsa-miR-153	hsa-miR-153		-5.57828682033334	-5.5782868203333305	-27.7397249349857	3.42899915537639e-17	1.37159966215056e-16	29.547866349064
hsa-miR-30e*	hsa-miR-30e*	hsa-miR-30e*		-1.49237182661111	-1.49237182661111	-26.921596374466898	6.07601627161856e-17	2.3619443534742597e-16	28.9640129353579
hsa-miR-92b	hsa-miR-92b	hsa-miR-92b		-4.31363196988889	-4.31363196988889	-26.8062960086276	6.594916829575229e-17	2.52805145133717e-16	28.880303446792002
hsa-miR-20b*	hsa-miR-20b*	hsa-miR-20b*		-7.008065836687501	-7.008065836687501	-30.8187003147012	9.383179644583978e-17	3.5147120923892204e-16	28.692701377216395
hsa-miR-450a	hsa-miR-450a	hsa-miR-450a		-4.32432718838889	-4.32432718838889	-26.309582943525502	9.423503436116021e-17	3.5147120923892204e-16	28.515526149203897
hsa-miR-199b-5p	hsa-miR-199b-5p	hsa-miR-199b-5p		-2.90263573805556	-2.90263573805556	-26.0687580032698	1.12296126291347e-16	4.1324974475215796e-16	28.336192326651396
hsa-miR-296-5p	hsa-miR-296-5p	hsa-miR-296-5p		-4.47553793227778	-4.47553793227778	-25.734528935346198	1.4360306134264698e-16	5.21505854349613e-16	28.084558200461302
hsa-miR-629	hsa-miR-629	hsa-miR-629		-4.720027779333329	-4.720027779333329	-25.243288761457	2.0727034307981102e-16	7.42943047922439e-16	27.7087769507828
hsa-miR-99a*	hsa-miR-99a*	hsa-miR-99a*		-5.390580662277781	-5.390580662277781	-25.1183326265856	2.27794713595263e-16	8.0604283272170005e-16	27.6120375327107
hsa-miR-500	hsa-miR-500	hsa-miR-500		-4.78344410916667	-4.78344410916667	-24.7951415070828	2.9140874442324103e-16	1.01808624633942e-15	27.3596110647744
hsa-miR-182	hsa-miR-182	hsa-miR-182		-5.87458331347059	-5.87458331347059	-26.2954382734775	3.66081947881257e-16	1.26298272019034e-15	27.221376669611697
hsa-miR-188-5p	hsa-miR-188-5p	hsa-miR-188-5p		-7.72604134030769	-7.72604134030769	-38.116949619759296	5.107675268288919e-16	1.69845587234668e-15	27.146243874652
hsa-miR-196a	hsa-miR-196a	hsa-miR-196a		-5.3719892098333295	-5.3719892098333295	-24.4711264885587	3.74161877556261e-16	1.27492195315467e-15	27.1032730671943
hsa-miR-142-5p	hsa-miR-142-5p	hsa-miR-142-5p		1.7067614751111102	1.7067614751111102	24.3489787850204	4.11466521484905e-16	1.38493609670529e-15	27.005773313837103
hsa-miR-361-3p	hsa-miR-361-3p	hsa-miR-361-3p		-2.3841071295555603	-2.3841071295555603	-23.943898515012698	5.65744262481902e-16	1.8588740052976804e-15	26.678972978677102
hsa-miR-191	hsa-miR-191	hsa-miR-191		1.5779893623888899	1.5779893623888899	23.7837784618008	6.425209771773959e-16	2.0863034082466e-15	26.5483042884908
hsa-miR-720	hsa-miR-720	hsa-miR-720		3.329709135	3.329709135	23.6463299479214	7.17146231703874e-16	2.30153906918918e-15	26.4354515074936
hsa-miR-514	hsa-miR-514	hsa-miR-514		-8.465082996	-8.465082996	-49.09919070344	9.26200310099099e-16	2.9382906389350703e-15	26.3757284802488
hsa-miR-501-5p	hsa-miR-501-5p	hsa-miR-501-5p		-6.03962098735294	-6.03962098735294	-24.8520429118228	1.01696712814574e-15	3.18957872009347e-15	26.175461815347198
hsa-miR-18a*	hsa-miR-18a*	hsa-miR-18a*		-2.9749294326111095	-2.9749294326111095	-22.877615382249605	1.3408234485865099e-15	4.158059233818841e-15	25.792303784376397
hsa-miR-503	hsa-miR-503	hsa-miR-503		-3.7071756290555604	-3.7071756290555604	-22.8637518754436	1.35628363794395e-15	4.15926982302813e-15	25.780513722596304
hsa-miR-625*	hsa-miR-625*	hsa-miR-625*		-4.34338679627778	-4.34338679627778	-22.421216372266397	1.96235052883324e-15	5.9517444610766405e-15	25.4004946642588
hsa-miR-193b	hsa-miR-193b	hsa-miR-193b		-6.1719409428125	-6.1719409428125	-25.3840398878757	2.64871060618126e-15	7.94613181854379e-15	25.2944104852673
hsa-miR-328	hsa-miR-328	hsa-miR-328		-1.3522439716666699	-1.3522439716666699	-21.7331833646031	3.5329050479536e-15	1.04847504648946e-14	24.7951006948732
hsa-miR-877	hsa-miR-877	hsa-miR-877		-5.978704639416669	-5.978704639416669	-35.0088968521868	1.03253357571553e-14	2.96853403018215e-14	24.2260664544654
hsa-miR-181a	hsa-miR-181a	hsa-miR-181a		3.52127776305556	3.52127776305556	20.8653614047981	7.60469408898818e-15	2.23286762612844e-14	24.0048780073027
hsa-let-7c	hsa-let-7c	hsa-let-7c		1.39600362288889	1.39600362288889	20.826191163580397	7.87786461899386e-15	2.2887269840445303e-14	23.9684791584619
hsa-miR-193a-3p	hsa-miR-193a-3p	hsa-miR-193a-3p		-7.49862599025	-7.49862599025	-34.028217958248895	1.5128301289050797e-14	4.260623628344909e-14	23.852613448797804
hsa-miR-663	hsa-miR-663	hsa-miR-663		-5.61159588009091	-5.61159588009091	-38.908376633839396	1.70053004521001e-14	4.74087164119155e-14	23.7236118489045
hsa-miR-584	hsa-miR-584	hsa-miR-584		-3.99408883155556	-3.99408883155556	-20.2631186483577	1.31734789342022e-14	3.7483300884946506e-14	23.4379826018487
hsa-miR-95	hsa-miR-95	hsa-miR-95		-7.01762500030769	-7.01762500030769	-28.6375227575909	3.1402066613079697e-14	8.58115879723763e-14	23.0657712153376
hsa-miR-365	hsa-miR-365	hsa-miR-365		-3.9899830422222204	-3.9899830422222204	-19.725189501381898	2.1796116421657398e-14	6.01572813237744e-14	22.9180820725533
hsa-miR-493	hsa-miR-493	hsa-miR-493		-6.84859377935714	-6.84859377935714	-25.1325631962568	4.9084562443820803e-14	1.30262877254755e-13	22.5139562370336
hsa-miR-299-5p	hsa-miR-299-5p	hsa-miR-299-5p		-5.39083302916667	-5.39083302916667	-19.1301681492849	3.86073537586307e-14	1.0446695722923598e-13	22.3273730729628
hsa-miR-324-3p	hsa-miR-324-3p	hsa-miR-324-3p		-1.30658880677778	-1.30658880677778	-19.1192003014281	3.90222199538132e-14	1.0456439521604302e-13	22.316325530075396
hsa-miR-34c-5p	hsa-miR-34c-5p	hsa-miR-34c-5p		-8.2948967768	-8.2948967768	-39.7811233279532	9.376870383006759e-14	2.37432681257786e-13	22.039438476324502
hsa-miR-484	hsa-miR-484	hsa-miR-484		1.4587794291666698	1.4587794291666698	18.7981862829995	5.34873042998938e-14	1.40595199874007e-13	21.990357486015895
hsa-miR-340	hsa-miR-340	hsa-miR-340		-4.32590210588889	-4.32590210588889	-18.619258161559397	6.38991175780938e-14	1.6637883444862198e-13	21.8064346322083
hsa-miR-133b	hsa-miR-133b	hsa-miR-133b		-3.796312122	-3.796312122	-18.598080343101103	6.52651796973066e-14	1.68347566322025e-13	21.7845582109263
hsa-miR-150	hsa-miR-150	hsa-miR-150		2.40913435694444	2.40913435694444	18.461792553962397	7.48216280739793e-14	1.9121082730016895e-13	21.643225189733602
hsa-miR-654-5p	hsa-miR-654-5p	hsa-miR-654-5p		-6.55380198416667	-6.55380198416667	-28.7836541792934	1.4281853114933e-13	3.51945666046563e-13	21.623906150759698
SNORD49A	SNORD49A		control	5.64154404277778	5.64154404277778	46.7995895608667	1.29026729414768e-13	3.2082321908536795e-13	21.531036421724895
hsa-miR-487b	hsa-miR-487b	hsa-miR-487b		-6.4374908860588205	-6.4374908860588205	-19.1073750271402	1.1282422534613999e-13	2.83086238141225e-13	21.323467784102398
hsa-miR-187	hsa-miR-187	hsa-miR-187		-7.63554773011111	-7.63554773011111	-45.2831536414717	1.8257472805710397e-13	4.4593473401558296e-13	21.2375940655907
hsa-miR-22*	hsa-miR-22*	hsa-miR-22*		-2.51525012544444	-2.51525012544444	-17.5081862377201	1.9979102542103002e-13	4.83704587861441e-13	20.626807861998397
hsa-miR-92a-1*	hsa-miR-92a-1*	hsa-miR-92a-1*		-4.29978946311111	-4.29978946311111	-17.2992957744968	2.4932320532345197e-13	5.98375692776285e-13	20.397474895189898
hsa-miR-574-3p	hsa-miR-574-3p	hsa-miR-574-3p		-2.01307184478571	-2.01307184478571	-21.367757042891103	5.756407648298051e-13	1.29168171620347e-12	19.9831034544712
hsa-miR-886-3p	hsa-miR-886-3p	hsa-miR-886-3p		-7.2777290824000005	-7.2777290824000005	-32.7269484624118	8.8358103446479e-13	1.93546321835145e-12	19.921761690996302
hsa-miR-181a*	hsa-miR-181a*	hsa-miR-181a*		-3.36696012538889	-3.36696012538889	-16.848299914370802	4.0548454649659895e-13	9.56527648145822e-13	19.8937409864636
hsa-miR-152	hsa-miR-152	hsa-miR-152		-2.29303739183333	-2.29303739183333	-16.7801338567376	4.36846901389103e-13	1.00474787319494e-12	19.8165575975038
hsa-miR-323-3p	hsa-miR-323-3p	hsa-miR-323-3p		-6.76436319046154	-6.76436319046154	-22.8875247076801	7.71877143731713e-13	1.7043047333596202e-12	19.8018979819859
hsa-miR-125a-5p	hsa-miR-125a-5p	hsa-miR-125a-5p		1.36235335472222	1.36235335472222	16.7424620851528	4.55260092152811e-13	1.03844450772046e-12	19.7737825029675
hsa-miR-26b	hsa-miR-26b	hsa-miR-26b		1.3434673240000001	1.3434673240000001	16.566958082044	5.524093657015799e-13	1.24971299125931e-12	19.573368070074803
