#  The average normalized Cp of the samples in a control or test group.				
# reports the average normalized Cp of the samples in control or test group.

ID_REF	AVERAGE SAMPLE 1-4	AVERAGE SAMPLE 5-9	AVERAGE SAMPLE 10-13	AVERAGE SAMPLE 14-18
design_target_name	Healthy-control	sCAD	STEMI d0	STEMI d5
hsa-miR-877	-7.007260886	-5.695729301	-5.913673809	-5.64616073
hsa-miR-100	-7.220573517	-7.980694043	-6.194052986	-6.200863597
hsa-miR-602	-7.652068927	-6.789571407	-6.648589308	-7.154167379
hsa-miR-193a-3p	-8.52399072	-7.089891673	-7.069192821	-7.250869765
hsa-miR-188-5p	-7.882774906	-8.21428687	-7.314857151	-7.329497924
hsa-miR-514	-8.693638948	-8.463357107	-8.11900426	-8.356638663
hsa-miR-27b	3.13263594	3.18708019	2.693842983	2.467360573
hsa-miR-431	-4.951207996	-4.285577919	-6.662748956	-6.082605041
hsa-miR-663	-5.731160768	-5.885156873	-5.342845276	-5.425032963
hsa-miR-452	-5.661376522	-7.719342141	-8.191892248	-7.142430287
hsa-miR-708	-9.004968032	-7.455180843	-6.11218654	-6.728282808
hsa-miR-886-3p	-7.80562424	-7.240261255	-5.353912346	-7.522836559
SNORD49A	5.428114654	5.804324464	5.732682913	5.367379799
U6	4.396869643	6.106332289	4.193564074	3.499419793
hsa-miR-671-5p	-5.622772422	-4.971448432	-5.224396184	-6.083372586
hsa-miR-620	-8.050984671	-5.934534676	-5.942334653	#DIV/0!
hsa-miR-381	-7.044424868	-5.521706086	-7.715273771	-7.005807642
hsa-miR-337-5p	-7.280578614	-5.334606834	-7.581410535	-7.575826649
hsa-miR-550	-7.762183227	-8.317624958	-6.896957089	-7.721198514
hsa-miR-187	-7.454018192	-8.246478646	#DIV/0!	-7.466229426
hsa-miR-138	-8.309259116	-7.530490356	-7.876032062	-7.84269538
hsa-miR-34c-5p	-8.673045917	-7.080502788	-7.837104772	-8.779337637
hsa-miR-128	-1.613248126	-1.397480285	-1.700015984	-1.748921072
hsa-miR-154*	-6.184261264	-6.898636451	-7.693523489	-7.43384943
hsa-miR-204	-7.470497657	-7.863376307	-5.970601809	-7.629790108
hsa-miR-361-5p	-9.202919335	-8.162517536	-7.509441774	-8.250521797
hsa-miR-193a-5p	-9.219352007	-8.140985931	-8.609724872	-7.979822098
hsa-miR-127-5p	-7.289341725	-5.729172897	-7.882479939	-8.176269802
hsa-miR-433	-6.670645324	-6.201325354	#DIV/0!	-7.616440995
hsa-miR-373*	-8.355005199	-7.133596842	-7.579667322	-8.575292038
hsa-miR-576-3p	-8.746718859	-7.74136649	-7.276782178	-7.612812412
hsa-miR-449a	-8.894474263	-8.881218979	-7.741262785	-7.678689523
hsa-miR-539	-7.790420824	-6.793112823	-9.029558484	#DIV/0!
hsa-miR-668	-7.440421544	-7.980423664	#DIV/0!	-7.433038726
hsa-miR-149	-8.938220182	-7.370520909	-6.539644375	-7.949136138
hsa-miR-26a-2*	-8.864086189	-8.574430863	-8.198063814	-8.853751221
hsa-miR-31*	-8.302788337	#DIV/0!	-8.703953143	-8.589993156
hsa-miR-589	-5.804665315	-6.540891304	-5.626179423	-6.256559363
hsa-miR-337-3p	-8.73766844	-6.236988306	-7.15966143	-7.603703893
hsa-miR-760	-7.830862272	-7.363148418	-6.797715659	-7.169543809
hsa-miR-449b	-8.15999173	-7.507176208	#DIV/0!	-8.442824264
hsa-miR-940	-1.172165814	#DIV/0!	-1.269900495	-1.136475727
hsa-miR-622	-6.353144734	#DIV/0!	-6.393989488	-5.709238453
hsa-miR-31	-7.102520868	-8.130558894	-6.650279854	-6.24248636
hsa-miR-224	-7.723412911	-7.717275648	#DIV/0!	#DIV/0!
hsa-miR-147b	-8.470372825	#DIV/0!	#DIV/0!	-7.888300496
hsa-miR-211	-8.766444	#DIV/0!	#DIV/0!	-8.169821172
hsa-miR-873	#DIV/0!	-7.764419119	-7.387253518	-8.303749167
hsa-miR-205	-7.61404167	-7.730606423	#DIV/0!	#DIV/0!
