SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-19a	0	3634.33	275.162	1
hsa-miR-19a*	0	0.0826432	1.54817	0
hsa-miR-19b	0	14070.9	1287.07	1
hsa-miR-19b-1*	0	80.2735	7.58379	1
hsa-miR-19b-2*	0	0.592797	1.54972	0
hsa-miR-200a	0	9.62599	2.31051	1
hsa-miR-200a*	0	-1.90152	1.79389	0
hsa-miR-200b	0	52.9908	5.25395	1
hsa-miR-200b*	0	-0.030972	1.55126	0
hsa-miR-200c	0	184.092	18.009	1
hsa-miR-200c*	0	-0.461575	1.55072	0
hsa-miR-202	0	-0.321578	2.19156	0
hsa-miR-202*	0	-1.35206	2.1883	0
hsa-miR-203	0	1.46737	2.19646	0
hsa-miR-204	0	52.4242	5.16922	1
hsa-miR-205	0	-1.35002	2.18828	0
hsa-miR-206	0	1.31346	2.19474	0
hsa-miR-208a	0	-1.80861	2.18897	0
hsa-miR-208b	0	-1.80252	2.18858	0
hsa-miR-20a	0	21201.6	1600.14	1
hsa-miR-20a*	0	111.165	10.0236	1
hsa-miR-20b	0	2236.48	190.895	1
hsa-miR-20b*	0	-1.42995	1.54765	0
hsa-miR-21	0	95609.1	7621.31	1
hsa-miR-21*	0	75.5952	6.86962	1
hsa-miR-210	0	190.13	15.003	1
hsa-miR-211	0	2.08808	2.19651	0
hsa-miR-212	0	3.43983	2.22382	0
hsa-miR-214	0	-1.74476	2.18901	0
hsa-miR-214*	0	-0.280311	2.18862	0
hsa-miR-215	0	18.7191	2.56247	1
hsa-miR-216a	0	-1.42984	1.54794	0
hsa-miR-216b	0	-1.53488	1.54746	0
hsa-miR-217	0	-1.45221	1.54723	0
hsa-miR-218	0	-1.45836	2.18882	0
hsa-miR-218-1*	0	-1.62125	1.54736	0
hsa-miR-218-2*	0	-2.43033	1.547	0
hsa-miR-219-1-3p	0	-2.559	1.54707	0
hsa-miR-219-2-3p	0	-0.408788	2.18957	0
hsa-miR-219-5p	0	13.4998	2.41785	1
hsa-miR-22	0	38666.5	3402.57	1
hsa-miR-22*	0	152.828	13.4727	1
